order_id,product_id,quantity,price
1,36,2,1695.94
1,11,2,1937.99
2,2,2,3973.78
2,170,2,152.91
3,183,4,4566.8
3,105,3,2391.97
4,12,1,2593.81
4,44,2,1808.93
5,97,1,483.8
5,101,2,763.92
6,66,1,3574.72
7,145,4,2316.34
7,98,4,3472.27
7,141,2,286.08
8,106,1,1436.69
9,179,2,442.02
9,25,1,3248.88
10,90,1,853.05
10,30,3,1832.52
11,191,3,3707.64
11,152,4,4841.93
12,70,1,459.2
12,115,3,2239.25
13,63,4,175.94
13,193,3,3315.39
14,163,1,1139.02
14,123,4,165.71
15,67,1,203.18
16,43,2,4030.79
17,147,4,1617.04
18,77,4,2068.89
18,197,1,3157.4
18,25,3,3248.88
19,146,3,311.53
19,175,1,3942.97
19,104,2,1583.13
20,131,3,2898.36
20,59,2,4195.85
21,27,1,1533.32
21,143,3,2461.73
21,42,4,4287.63
22,106,4,1436.69
22,149,1,4207.93
23,189,1,1067.5
24,186,1,3843.42
24,71,1,4481.49
24,130,2,4384.64
25,188,3,4597.02
25,66,2,3574.72
26,187,1,124.89
26,97,1,483.8
27,118,4,1755.3
27,88,3,4593.11
27,143,4,2461.73
28,85,1,3217.05
28,145,2,2316.34
29,125,3,4867.51
30,77,3,2068.89
31,147,4,1617.04
31,143,2,2461.73
31,79,1,3690.23
32,27,2,1533.32
32,109,3,2330.11
33,157,3,1632.43
33,87,2,4330.81
34,131,2,2898.36
34,127,2,4047.48
34,27,3,1533.32
35,102,3,2293.09
36,156,1,1036.93
36,139,3,2668.36
36,32,3,3394.18
37,82,4,146.16
37,171,1,3534.96
37,81,1,114.27
38,56,1,3481.13
39,42,1,4287.63
39,126,4,1185.11
39,153,3,1675.55
40,171,1,3534.96
40,199,2,4466.88
41,17,3,2166.97
41,147,4,1617.04
42,76,1,3532.23
42,64,1,917.14
43,139,1,2668.36
44,152,3,4841.93
44,99,3,3946.53
44,164,3,614.98
45,58,3,1795.93
45,165,4,3473.17
45,1,4,4869.5
46,131,4,2898.36
47,69,2,4522.46
48,168,2,1624.08
48,126,4,1185.11
48,163,4,1139.02
49,57,1,1997.2
49,90,2,853.05
50,186,3,3843.42
51,128,2,385.55
51,33,4,2592.59
51,125,4,4867.51
52,109,1,2330.11
53,10,3,1534.78
53,196,3,327.37
54,94,3,2578.29
55,44,1,1808.93
55,130,3,4384.64
56,51,2,4122.12
57,141,1,286.08
57,116,3,3205.61
57,130,1,4384.64
58,185,4,2683.02
58,168,4,1624.08
58,67,2,203.18
59,32,1,3394.18
59,138,3,2991.62
59,165,4,3473.17
60,35,3,1828.19
60,165,1,3473.17
60,33,4,2592.59
61,110,4,2823.97
61,157,2,1632.43
62,145,3,2316.34
62,57,4,1997.2
63,23,3,470.59
63,176,1,2961.24
64,63,4,175.94
64,56,3,3481.13
64,64,1,917.14
65,120,4,1287.24
65,13,1,1663.32
65,171,1,3534.96
66,162,4,3647.55
67,53,1,3340.62
67,75,4,4307.88
68,44,1,1808.93
69,141,1,286.08
70,198,4,3167.88
70,42,2,4287.63
70,122,2,2656.54
71,107,4,2371.4
71,97,2,483.8
72,47,2,4491.78
73,83,2,4063.09
73,74,4,1617.69
74,80,3,3122.74
74,5,4,556.23
74,151,4,1449.61
75,179,4,442.02
76,185,4,2683.02
76,13,1,1663.32
76,61,1,3411.87
77,117,4,2305.25
77,20,2,4267.1
78,165,4,3473.17
78,3,2,1290.43
79,98,2,3472.27
79,73,3,3726.09
80,107,4,2371.4
80,38,4,4399.3
81,163,1,1139.02
81,147,1,1617.04
82,105,4,2391.97
82,165,1,3473.17
83,61,3,3411.87
84,51,3,4122.12
84,67,1,203.18
85,98,2,3472.27
85,6,1,2393.9
85,155,4,4981.2
86,94,3,2578.29
87,11,1,1937.99
88,114,3,1490.35
88,60,3,596.25
89,163,1,1139.02
90,188,1,4597.02
90,132,2,144.09
91,57,2,1997.2
92,199,1,4466.88
92,158,4,2481.62
92,21,1,2130.2
93,190,4,4922.18
93,82,2,146.16
94,86,3,2325.65
94,71,2,4481.49
94,41,4,1908.04
95,129,2,4613.7
95,188,1,4597.02
95,142,4,4973.51
96,25,2,3248.88
96,10,3,1534.78
96,140,2,1486.7
97,165,4,3473.17
98,90,3,853.05
98,106,1,1436.69
98,145,4,2316.34
99,26,4,4264.23
100,196,1,327.37
100,64,4,917.14
100,32,4,3394.18
101,36,1,1695.94
102,197,3,3157.4
102,111,4,2079.48
103,189,2,1067.5
104,112,1,2354.57
104,16,4,4366.29
105,64,2,917.14
105,178,2,3851.7
105,37,1,2415.62
106,59,1,4195.85
106,150,4,3305.73
107,61,4,3411.87
107,47,2,4491.78
107,31,1,749.1
108,96,2,4670.58
108,131,2,2898.36
109,75,1,4307.88
110,8,3,3242.2
111,138,2,2991.62
112,83,3,4063.09
112,130,4,4384.64
112,132,4,144.09
113,35,1,1828.19
113,78,3,473.88
114,177,4,503.92
115,77,3,2068.89
115,84,2,1371.06
115,76,2,3532.23
116,196,1,327.37
116,180,4,2445.64
116,112,3,2354.57
117,11,2,1937.99
117,146,3,311.53
117,186,3,3843.42
118,43,2,4030.79
118,37,3,2415.62
118,29,4,1957.13
119,6,2,2393.9
120,134,4,2093.43
120,51,2,4122.12
120,18,3,3487.38
121,165,4,3473.17
121,107,2,2371.4
121,85,2,3217.05
122,171,3,3534.96
123,124,3,195.29
124,97,2,483.8
125,129,4,4613.7
126,169,3,1701.78
126,73,4,3726.09
126,51,1,4122.12
127,34,1,3633.5
128,29,4,1957.13
129,39,2,297.38
130,150,4,3305.73
130,126,2,1185.11
130,15,1,4672.08
131,81,4,114.27
131,6,3,2393.9
132,116,2,3205.61
132,188,1,4597.02
133,199,1,4466.88
134,49,2,2332.57
134,47,2,4491.78
135,88,4,4593.11
135,14,1,4847.94
135,77,3,2068.89
136,86,3,2325.65
136,2,2,3973.78
136,117,2,2305.25
137,23,4,470.59
137,152,4,4841.93
138,44,1,1808.93
138,188,3,4597.02
139,158,3,2481.62
139,115,3,2239.25
139,147,2,1617.04
140,20,1,4267.1
141,20,1,4267.1
141,124,1,195.29
141,58,1,1795.93
142,1,1,4869.5
143,83,2,4063.09
144,143,2,2461.73
145,119,4,2001.68
146,113,4,174.35
146,122,4,2656.54
146,4,1,4550.99
147,16,1,4366.29
147,157,1,1632.43
147,36,4,1695.94
148,150,1,3305.73
149,86,3,2325.65
149,55,4,1906.64
149,181,1,944.51
150,92,2,1403.5
151,101,2,763.92
151,44,4,1808.93
152,164,2,614.98
152,100,3,3996.91
153,25,1,3248.88
154,119,3,2001.68
155,30,3,1832.52
155,82,3,146.16
156,38,1,4399.3
156,17,2,2166.97
157,29,1,1957.13
157,23,2,470.59
158,87,4,4330.81
158,52,2,1258.08
158,94,2,2578.29
159,59,1,4195.85
159,136,2,1558.63
160,39,1,297.38
161,164,3,614.98
162,89,1,4984.36
162,36,1,1695.94
162,124,3,195.29
163,178,3,3851.7
163,28,3,920.61
164,108,4,4450.41
164,48,3,2082.01
164,193,4,3315.39
165,69,3,4522.46
165,157,3,1632.43
165,20,1,4267.1
166,11,3,1937.99
166,74,1,1617.69
167,15,4,4672.08
167,122,1,2656.54
167,8,2,3242.2
168,198,1,3167.88
169,18,3,3487.38
169,28,1,920.61
170,60,1,596.25
171,131,1,2898.36
172,165,1,3473.17
173,83,4,4063.09
174,126,4,1185.11
175,27,2,1533.32
176,44,4,1808.93
176,34,4,3633.5
176,15,2,4672.08
177,196,2,327.37
178,36,3,1695.94
178,198,4,3167.88
179,39,3,297.38
179,38,2,4399.3
180,138,1,2991.62
180,58,4,1795.93
180,200,2,2577.72
181,68,3,278.48
181,99,1,3946.53
181,175,2,3942.97
182,75,1,4307.88
182,121,2,4630.02
182,165,2,3473.17
183,17,2,2166.97
184,162,1,3647.55
184,5,2,556.23
185,52,2,1258.08
186,154,2,4991.35
186,179,4,442.02
186,75,4,4307.88
187,89,1,4984.36
187,100,3,3996.91
188,112,2,2354.57
188,193,4,3315.39
188,13,4,1663.32
189,135,1,2354.31
190,91,1,4328.52
190,50,4,3558.22
190,190,1,4922.18
191,186,1,3843.42
192,181,2,944.51
192,15,4,4672.08
192,36,1,1695.94
193,162,3,3647.55
193,88,3,4593.11
193,136,1,1558.63
194,168,4,1624.08
195,106,4,1436.69
195,90,4,853.05
196,198,1,3167.88
196,111,2,2079.48
197,78,2,473.88
197,63,2,175.94
198,156,2,1036.93
198,194,2,2411.15
199,154,1,4991.35
200,142,2,4973.51
200,147,1,1617.04
201,147,2,1617.04
201,39,2,297.38
201,64,4,917.14
202,37,1,2415.62
203,31,3,749.1
204,189,1,1067.5
205,144,2,3804.42
205,119,4,2001.68
205,39,4,297.38
206,84,1,1371.06
207,157,3,1632.43
207,72,2,1218.01
208,63,4,175.94
209,198,3,3167.88
209,43,4,4030.79
209,75,4,4307.88
210,10,4,1534.78
210,90,1,853.05
211,193,1,3315.39
212,63,1,175.94
213,77,3,2068.89
213,3,1,1290.43
213,148,3,1668.54
214,119,1,2001.68
214,186,1,3843.42
215,87,4,4330.81
215,137,4,261.44
215,197,3,3157.4
216,108,2,4450.41
216,73,4,3726.09
217,157,4,1632.43
217,139,2,2668.36
217,73,4,3726.09
218,36,3,1695.94
218,95,1,188.14
219,82,3,146.16
219,116,4,3205.61
220,17,3,2166.97
220,75,2,4307.88
220,29,3,1957.13
221,195,4,2900.98
221,64,4,917.14
222,9,4,2126.86
222,148,3,1668.54
223,57,3,1997.2
223,151,3,1449.61
224,145,4,2316.34
225,62,3,1318.75
225,88,2,4593.11
225,44,2,1808.93
226,42,2,4287.63
227,20,4,4267.1
228,70,3,459.2
229,100,4,3996.91
229,128,4,385.55
230,77,3,2068.89
231,138,1,2991.62
231,175,2,3942.97
232,59,3,4195.85
233,86,2,2325.65
234,120,2,1287.24
235,71,4,4481.49
235,27,1,1533.32
236,82,4,146.16
237,28,2,920.61
238,160,3,2687.43
238,63,2,175.94
239,15,1,4672.08
239,166,1,876.42
239,99,1,3946.53
240,187,1,124.89
240,152,4,4841.93
241,45,4,3500.0
241,198,3,3167.88
242,111,3,2079.48
243,61,4,3411.87
244,198,4,3167.88
244,27,3,1533.32
245,45,2,3500.0
245,139,1,2668.36
246,22,3,650.69
246,80,4,3122.74
247,90,2,853.05
247,125,2,4867.51
248,84,1,1371.06
248,180,1,2445.64
248,57,4,1997.2
249,115,2,2239.25
250,51,3,4122.12
250,73,3,3726.09
250,85,1,3217.05
251,73,4,3726.09
251,60,4,596.25
252,68,1,278.48
253,57,4,1997.2
253,190,3,4922.18
253,168,4,1624.08
254,169,2,1701.78
254,136,4,1558.63
254,96,1,4670.58
255,127,4,4047.48
255,166,1,876.42
256,102,4,2293.09
257,181,3,944.51
257,22,1,650.69
257,86,1,2325.65
258,63,4,175.94
258,97,1,483.8
258,115,1,2239.25
259,158,2,2481.62
259,28,4,920.61
260,167,2,3959.62
260,49,4,2332.57
260,3,1,1290.43
261,198,3,3167.88
261,165,2,3473.17
262,53,4,3340.62
262,46,3,882.2
262,81,4,114.27
263,86,3,2325.65
263,167,2,3959.62
264,16,1,4366.29
265,23,1,470.59
266,153,1,1675.55
267,168,3,1624.08
267,10,2,1534.78
267,61,4,3411.87
268,46,2,882.2
269,163,1,1139.02
269,120,3,1287.24
270,21,1,2130.2
270,46,3,882.2
270,87,1,4330.81
271,118,1,1755.3
271,114,1,1490.35
272,137,2,261.44
272,40,3,4043.68
272,149,1,4207.93
273,115,1,2239.25
273,103,4,4164.2
274,9,3,2126.86
274,199,1,4466.88
275,123,1,165.71
275,37,2,2415.62
275,99,2,3946.53
276,180,2,2445.64
276,124,2,195.29
277,160,4,2687.43
277,119,1,2001.68
278,2,1,3973.78
278,15,4,4672.08
279,5,4,556.23
279,48,4,2082.01
280,194,3,2411.15
280,79,4,3690.23
280,146,2,311.53
281,77,1,2068.89
282,90,3,853.05
283,121,4,4630.02
283,77,1,2068.89
284,26,1,4264.23
285,23,4,470.59
285,55,2,1906.64
285,108,3,4450.41
286,50,4,3558.22
286,189,1,1067.5
286,99,4,3946.53
287,168,2,1624.08
287,117,2,2305.25
288,28,2,920.61
288,3,1,1290.43
289,188,2,4597.02
290,135,2,2354.31
290,157,2,1632.43
290,168,1,1624.08
291,31,1,749.1
292,61,2,3411.87
292,163,2,1139.02
293,41,1,1908.04
293,70,2,459.2
294,73,1,3726.09
294,190,1,4922.18
294,172,2,655.02
295,80,1,3122.74
295,37,2,2415.62
295,95,2,188.14
296,28,3,920.61
296,144,4,3804.42
297,172,1,655.02
298,172,1,655.02
298,155,1,4981.2
299,181,2,944.51
300,54,3,2020.79
300,170,3,152.91
301,149,3,4207.93
301,78,1,473.88
301,128,2,385.55
302,68,1,278.48
302,159,2,3354.09
302,85,4,3217.05
303,173,4,3887.11
303,189,1,1067.5
304,30,4,1832.52
304,197,4,3157.4
305,147,4,1617.04
306,23,4,470.59
307,42,1,4287.63
307,167,1,3959.62
308,156,1,1036.93
308,84,3,1371.06
308,137,4,261.44
309,60,1,596.25
309,128,2,385.55
310,37,3,2415.62
310,32,3,3394.18
311,126,1,1185.11
311,101,3,763.92
311,109,4,2330.11
312,161,1,4850.26
312,134,3,2093.43
313,48,4,2082.01
313,91,2,4328.52
313,69,1,4522.46
314,169,4,1701.78
315,109,2,2330.11
316,178,1,3851.7
317,41,3,1908.04
317,34,4,3633.5
318,120,1,1287.24
318,88,3,4593.11
318,132,3,144.09
319,54,2,2020.79
320,177,4,503.92
320,22,4,650.69
321,153,2,1675.55
321,161,2,4850.26
321,164,1,614.98
322,163,3,1139.02
323,149,4,4207.93
324,71,3,4481.49
325,194,1,2411.15
325,5,4,556.23
326,159,4,3354.09
326,77,1,2068.89
326,183,2,4566.8
327,182,1,3786.44
328,24,1,2927.61
329,184,4,2815.22
329,122,3,2656.54
330,140,2,1486.7
330,22,3,650.69
330,127,2,4047.48
331,199,3,4466.88
331,22,2,650.69
331,121,3,4630.02
332,105,3,2391.97
332,61,3,3411.87
332,24,1,2927.61
333,178,1,3851.7
333,111,2,2079.48
334,188,3,4597.02
335,61,1,3411.87
335,107,4,2371.4
336,44,2,1808.93
337,181,2,944.51
337,174,2,2510.15
337,6,4,2393.9
338,51,1,4122.12
339,186,4,3843.42
339,181,3,944.51
340,94,1,2578.29
341,150,4,3305.73
341,111,3,2079.48
341,76,1,3532.23
342,120,3,1287.24
343,162,4,3647.55
343,171,4,3534.96
344,62,1,1318.75
344,71,1,4481.49
344,79,2,3690.23
345,55,4,1906.64
345,17,3,2166.97
346,87,1,4330.81
346,160,1,2687.43
347,138,1,2991.62
347,118,2,1755.3
348,198,2,3167.88
349,138,4,2991.62
349,48,3,2082.01
350,20,1,4267.1
350,86,4,2325.65
351,31,1,749.1
351,69,3,4522.46
352,155,1,4981.2
353,198,2,3167.88
354,180,2,2445.64
355,17,2,2166.97
356,21,1,2130.2
356,74,2,1617.69
357,67,3,203.18
357,188,3,4597.02
357,95,3,188.14
358,112,2,2354.57
359,65,3,3072.64
360,133,2,1363.27
361,139,2,2668.36
361,107,3,2371.4
362,74,2,1617.69
362,12,4,2593.81
363,47,1,4491.78
364,8,2,3242.2
364,6,3,2393.9
364,66,2,3574.72
365,75,1,4307.88
365,115,3,2239.25
365,131,3,2898.36
366,47,4,4491.78
366,93,1,2995.0
366,58,1,1795.93
367,24,4,2927.61
368,61,3,3411.87
368,66,1,3574.72
369,52,4,1258.08
369,87,4,4330.81
370,64,2,917.14
370,55,1,1906.64
370,29,4,1957.13
371,137,4,261.44
371,82,1,146.16
371,92,3,1403.5
372,123,3,165.71
372,178,1,3851.7
373,129,3,4613.7
374,57,2,1997.2
374,61,3,3411.87
375,23,1,470.59
375,196,2,327.37
376,114,4,1490.35
377,33,4,2592.59
377,51,4,4122.12
378,15,4,4672.08
378,149,4,4207.93
378,55,4,1906.64
379,24,4,2927.61
379,1,1,4869.5
380,200,2,2577.72
380,65,3,3072.64
381,198,3,3167.88
381,9,3,2126.86
381,118,3,1755.3
382,83,3,4063.09
383,109,3,2330.11
383,72,2,1218.01
384,185,3,2683.02
384,194,1,2411.15
384,153,3,1675.55
385,50,3,3558.22
385,42,4,4287.63
386,118,2,1755.3
386,21,3,2130.2
387,4,1,4550.99
387,124,3,195.29
387,46,4,882.2
388,13,4,1663.32
388,63,2,175.94
388,116,1,3205.61
389,128,1,385.55
389,74,3,1617.69
390,134,2,2093.43
391,66,1,3574.72
392,170,1,152.91
392,48,3,2082.01
393,108,4,4450.41
393,196,2,327.37
393,129,3,4613.7
394,114,3,1490.35
395,59,3,4195.85
395,9,3,2126.86
396,184,4,2815.22
396,105,3,2391.97
396,182,2,3786.44
397,77,3,2068.89
397,121,3,4630.02
397,71,4,4481.49
398,27,3,1533.32
398,94,4,2578.29
399,72,2,1218.01
399,181,3,944.51
399,9,1,2126.86
400,84,2,1371.06
401,44,3,1808.93
401,105,2,2391.97
402,94,4,2578.29
403,182,3,3786.44
403,58,3,1795.93
404,180,4,2445.64
404,70,4,459.2
405,175,4,3942.97
405,156,4,1036.93
405,81,1,114.27
406,5,2,556.23
406,178,3,3851.7
407,23,1,470.59
408,50,1,3558.22
409,59,1,4195.85
410,97,2,483.8
410,39,1,297.38
411,184,4,2815.22
412,10,1,1534.78
412,185,2,2683.02
412,44,1,1808.93
413,2,4,3973.78
413,74,1,1617.69
414,65,1,3072.64
414,186,4,3843.42
414,80,4,3122.74
415,193,1,3315.39
415,122,1,2656.54
