order_id,customer_id,order_date,payment_method
1,353,24-04-2022,UPI
2,4508,15-12-2022,UPI
3,4831,02-02-2023,Wallet
4,3029,05-11-2023,Debit Card
5,118,15-04-2023,Wallet
6,482,07-11-2023,Net Banking
7,4288,15-01-2022,UPI
8,2638,03-07-2023,Net Banking
9,107,18-05-2022,Net Banking
10,4478,22-09-2022,Net Banking
11,4879,12-07-2023,Debit Card
12,244,10-09-2023,UPI
13,2633,22-03-2022,Net Banking
14,4564,30-10-2022,Net Banking
15,866,01-10-2022,Net Banking
16,2982,23-04-2022,Credit Card
17,1562,13-02-2023,UPI
18,604,21-12-2023,Net Banking
19,3063,31-12-2022,Debit Card
20,4019,29-08-2022,Credit Card
21,2016,30-03-2022,Credit Card
22,1659,26-11-2023,Wallet
23,3381,29-09-2022,Debit Card
24,3768,12-09-2022,Wallet
25,3771,04-05-2023,Credit Card
26,1614,02-09-2022,Wallet
27,4956,09-04-2022,Wallet
28,1880,25-07-2023,Wallet
29,4109,14-03-2022,Net Banking
30,2347,16-09-2023,Credit Card
31,1100,08-11-2023,Wallet
32,1075,15-10-2022,Debit Card
33,787,30-07-2022,Net Banking
34,149,18-06-2023,Credit Card
35,1755,24-03-2022,Credit Card
36,2170,30-08-2022,UPI
37,3757,12-01-2022,Credit Card
38,1180,01-06-2023,Wallet
39,3310,26-04-2022,UPI
40,2424,13-12-2022,Credit Card
41,4178,20-01-2022,Net Banking
42,4588,02-12-2023,Credit Card
43,925,16-05-2022,Net Banking
44,1604,22-03-2023,Credit Card
45,3053,14-03-2023,Credit Card
46,4219,24-07-2023,Wallet
47,4804,22-06-2022,Credit Card
48,2378,06-12-2023,Wallet
49,3481,01-06-2023,UPI
50,3183,08-06-2022,Credit Card
51,2818,09-02-2023,Wallet
52,3161,27-05-2023,Net Banking
53,4806,14-10-2023,UPI
54,4890,04-01-2022,UPI
55,712,10-08-2023,Net Banking
56,2587,14-04-2022,UPI
57,2649,08-01-2023,Net Banking
58,1718,11-10-2023,Debit Card
59,4353,09-10-2022,Wallet
60,871,10-10-2022,Credit Card
61,3575,22-04-2023,UPI
62,4905,23-08-2022,Debit Card
63,271,03-12-2023,Net Banking
64,1544,27-06-2022,Credit Card
65,550,04-12-2022,Net Banking
66,4664,17-05-2023,Net Banking
67,4015,10-08-2022,Net Banking
68,4455,01-04-2023,UPI
69,1713,27-12-2023,Debit Card
70,3241,26-12-2023,UPI
71,1363,25-12-2022,Credit Card
72,4894,14-02-2023,Debit Card
73,1285,28-08-2023,Credit Card
74,887,12-07-2023,UPI
75,2259,07-04-2023,Wallet
76,4383,10-07-2022,Wallet
77,1786,25-05-2022,Debit Card
78,4839,10-12-2022,Wallet
79,3544,08-09-2023,Net Banking
80,296,30-07-2023,Wallet
81,2054,06-06-2022,Wallet
82,2598,04-11-2022,Net Banking
83,681,08-05-2022,Net Banking
84,4891,24-01-2022,Credit Card
85,4299,05-05-2022,UPI
86,325,24-06-2022,Debit Card
87,2292,11-04-2022,Net Banking
88,4423,20-02-2022,Debit Card
89,987,15-09-2022,Credit Card
90,3119,23-10-2023,Wallet
91,761,17-06-2022,UPI
92,3694,15-04-2022,UPI
93,1037,04-08-2023,Net Banking
94,907,04-02-2022,Wallet
95,365,04-03-2023,UPI
96,3414,06-11-2023,Debit Card
97,1070,05-12-2022,Wallet
98,4370,21-12-2023,Net Banking
99,2256,02-06-2022,Debit Card
100,3687,21-05-2023,UPI
101,4220,21-03-2022,Debit Card
102,3082,31-01-2022,Wallet
103,3259,13-08-2022,Debit Card
104,2108,28-07-2022,Net Banking
105,2934,29-06-2022,UPI
106,2830,23-02-2023,Debit Card
107,442,12-05-2023,Debit Card
108,1560,01-11-2022,Credit Card
109,1742,18-10-2023,Wallet
110,626,10-11-2022,Net Banking
111,3864,30-11-2022,UPI
112,1691,05-03-2022,Debit Card
113,2782,04-11-2022,Credit Card
